format,intrusion_level,licence_class,currency,baseline_cents,calibration_basis
photo,light,editorial,EUR,,
photo,light,commercial,EUR,,
photo,light,advertising,EUR,,
photo,standard,editorial,EUR,,
photo,standard,commercial,EUR,,
photo,standard,advertising,EUR,,
photo,heavy,editorial,EUR,,
photo,heavy,commercial,EUR,,
photo,heavy,advertising,EUR,,
illustration,light,editorial,EUR,,
illustration,light,commercial,EUR,,
illustration,light,advertising,EUR,,
illustration,standard,editorial,EUR,,
illustration,standard,commercial,EUR,,
illustration,standard,advertising,EUR,,
illustration,heavy,editorial,EUR,,
illustration,heavy,commercial,EUR,,
illustration,heavy,advertising,EUR,,
infographic,light,editorial,EUR,,
infographic,light,commercial,EUR,,
infographic,light,advertising,EUR,,
infographic,standard,editorial,EUR,,
infographic,standard,commercial,EUR,,
infographic,standard,advertising,EUR,,
infographic,heavy,editorial,EUR,,
infographic,heavy,commercial,EUR,,
infographic,heavy,advertising,EUR,,
vector,light,editorial,EUR,,
vector,light,commercial,EUR,,
vector,light,advertising,EUR,,
vector,standard,editorial,EUR,,
vector,standard,commercial,EUR,,
vector,standard,advertising,EUR,,
vector,heavy,editorial,EUR,,
vector,heavy,commercial,EUR,,
vector,heavy,advertising,EUR,,
video,light,editorial,EUR,,
video,light,commercial,EUR,,
video,light,advertising,EUR,,
video,standard,editorial,EUR,,
video,standard,commercial,EUR,,
video,standard,advertising,EUR,,
video,heavy,editorial,EUR,,
video,heavy,commercial,EUR,,
video,heavy,advertising,EUR,,
audio,light,editorial,EUR,,
audio,light,commercial,EUR,,
audio,light,advertising,EUR,,
audio,standard,editorial,EUR,,
audio,standard,commercial,EUR,,
audio,standard,advertising,EUR,,
audio,heavy,editorial,EUR,,
audio,heavy,commercial,EUR,,
audio,heavy,advertising,EUR,,
text,light,editorial,EUR,,
text,light,commercial,EUR,,
text,light,advertising,EUR,,
text,standard,editorial,EUR,,
text,standard,commercial,EUR,,
text,standard,advertising,EUR,,
text,heavy,editorial,EUR,,
text,heavy,commercial,EUR,,
text,heavy,advertising,EUR,,
